participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
14,1,1,j,z,n,k,k,,,,,,0,0,1,1,1,,,,,
14,1,2,z,d,d,z,h,,,,,,0,0,1,0,1,,,,,
14,1,3,n,x,v,m,z,,,,,,1,1,1,0,1,,,,,
14,1,4,d,p,t,x,k,,,,,,1,1,0,1,0,,,,,
14,1,5,c,d,g,v,n,,,,,,0,0,1,0,0,,,,,
14,1,6,x,s,z,z,d,,,,,,1,0,1,1,1,,,,,
14,1,7,r,q,q,b,w,,,,,,1,0,0,1,1,,,,,
14,1,8,s,w,f,d,p,,,,,,1,0,0,1,0,,,,,
14,1,9,b,h,k,l,h,,,,,,0,0,0,1,0,,,,,
14,1,10,l,q,g,t,h,,,,,,1,0,0,0,1,,,,,
14,1,11,z,x,x,h,q,,,,,,0,0,1,1,0,,,,,
14,1,12,r,h,q,m,m,,,,,,0,1,1,1,1,,,,,
14,1,13,t,b,q,c,h,,,,,,0,0,0,0,1,,,,,
14,1,14,h,j,x,h,w,,,,,,0,1,0,0,0,,,,,
14,1,15,z,b,v,k,f,,,,,,0,0,0,1,0,,,,,
14,1,16,l,x,c,z,q,,,,,,0,0,0,0,1,,,,,
14,1,17,g,n,l,r,s,,,,,,1,1,0,0,0,,,,,
14,2,18,l,g,t,x,n,,,,,,1,1,1,1,1,,,,,
14,2,19,w,v,w,w,f,,,,,,0,0,0,1,1,,,,,
14,2,20,k,n,v,k,c,,,,,,0,0,1,1,1,,,,,
14,2,21,d,q,v,z,l,,,,,,1,0,1,0,1,,,,,
14,2,22,w,n,w,b,j,,,,,,0,1,1,0,0,,,,,
14,2,23,r,s,j,r,w,,,,,,0,1,1,1,1,,,,,
14,2,24,p,p,f,l,z,,,,,,1,0,1,1,0,,,,,
14,2,25,k,l,v,m,p,,,,,,1,1,0,1,1,,,,,
14,2,26,g,b,p,r,g,,,,,,1,0,0,1,1,,,,,
14,2,27,r,c,m,p,s,,,,,,0,0,0,0,1,,,,,
14,2,28,x,b,z,w,r,,,,,,0,1,0,1,1,,,,,
14,2,29,m,b,d,x,h,,,,,,1,1,1,0,1,,,,,
14,2,30,w,z,p,h,s,,,,,,0,1,1,0,1,,,,,
14,2,31,j,k,k,t,c,,,,,,0,1,0,1,1,,,,,
14,2,32,r,n,c,x,h,,,,,,0,1,0,1,1,,,,,
14,2,33,v,d,x,n,k,,,,,,1,0,1,1,0,,,,,
14,2,34,t,r,w,m,r,,,,,,0,1,1,0,0,,,,,
14,3,35,v,l,g,k,z,,,,,,0,0,1,1,0,,,,,
14,3,36,m,z,m,p,c,,,,,,0,1,1,0,1,,,,,
14,3,37,j,k,s,z,z,,,,,,1,1,0,1,0,,,,,
14,3,38,n,t,c,f,z,,,,,,0,1,0,1,0,,,,,
14,3,39,t,c,r,z,b,,,,,,1,0,0,1,1,,,,,
14,3,40,j,k,k,k,f,,,,,,0,1,0,0,0,,,,,
14,3,41,t,l,r,r,h,,,,,,0,1,0,1,1,,,,,
14,3,42,b,h,g,d,s,,,,,,1,0,1,1,0,,,,,
14,3,43,q,t,j,j,l,,,,,,1,0,0,1,1,,,,,
14,3,44,c,l,n,d,v,,,,,,1,0,0,1,1,,,,,
14,3,45,j,q,p,l,w,,,,,,0,1,0,1,1,,,,,
14,3,46,g,s,h,p,b,,,,,,1,1,0,0,0,,,,,
14,3,47,w,x,k,s,w,,,,,,1,0,1,1,0,,,,,
14,3,48,v,f,f,p,v,,,,,,1,1,1,0,0,,,,,
14,3,49,w,b,d,n,k,,,,,,0,1,1,1,1,,,,,
14,3,50,r,t,p,w,b,,,,,,0,0,1,1,1,,,,,
14,3,51,b,q,t,k,z,,,,,,0,1,1,1,1,,,,,
14,3,52,t,s,j,n,c,,,,,,1,1,1,0,0,,,,,
14,3,53,w,b,j,p,v,,,,,,0,0,1,1,1,,,,,
14,4,54,v,f,k,k,k,,,,,,0,1,0,1,0,,,,,
14,4,55,z,s,f,p,f,,,,,,0,1,1,0,0,,,,,
14,4,56,k,z,w,p,s,,,,,,1,1,0,1,0,,,,,
14,4,57,t,k,c,r,t,,,,,,1,1,1,0,1,,,,,
14,4,58,k,c,k,l,j,,,,,,1,0,1,0,0,,,,,
14,4,59,p,f,v,t,f,,,,,,0,0,1,1,0,,,,,
14,4,60,s,h,m,z,k,,,,,,0,0,0,1,0,,,,,
14,4,61,n,w,w,t,v,,,,,,1,1,0,1,1,,,,,
14,4,62,r,q,r,m,f,,,,,,0,0,1,0,0,,,,,
14,4,63,n,b,j,h,n,,,,,,0,0,0,0,1,,,,,
14,4,64,n,h,z,v,h,,,,,,1,1,0,1,1,,,,,
14,4,65,n,l,n,d,z,,,,,,0,1,0,1,0,,,,,
14,4,66,l,f,k,f,r,,,,,,0,0,1,1,1,,,,,
14,4,67,v,f,f,r,j,,,,,,0,0,1,0,0,,,,,
14,4,68,h,k,g,n,l,,,,,,0,1,0,0,0,,,,,
14,4,69,j,r,c,r,g,,,,,,0,1,0,1,0,,,,,
