participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
9,1,1,q,n,s,g,v,,,,,,1,1,0,1,1,,,,,
9,1,2,b,x,k,x,k,,,,,,0,1,1,0,0,,,,,
9,1,3,x,z,r,t,t,,,,,,0,1,1,0,0,,,,,
9,1,4,h,d,z,h,n,,,,,,0,1,0,0,0,,,,,
9,1,5,g,k,d,k,z,,,,,,1,0,0,1,0,,,,,
9,1,6,h,h,x,d,k,,,,,,0,1,1,0,1,,,,,
9,1,7,g,m,l,f,t,,,,,,1,0,1,0,0,,,,,
9,1,8,l,b,f,r,r,,,,,,1,1,1,0,0,,,,,
9,1,9,l,l,s,f,h,,,,,,0,1,0,1,1,,,,,
9,1,10,z,w,n,d,s,,,,,,0,0,1,0,0,,,,,
9,1,11,r,q,n,t,l,,,,,,1,1,1,0,1,,,,,
9,1,12,l,n,p,k,m,,,,,,1,1,1,1,1,,,,,
9,2,13,g,n,t,j,s,,,,,,0,0,1,1,0,,,,,
9,2,14,h,f,k,d,n,,,,,,0,0,0,1,0,,,,,
9,2,15,h,g,b,t,g,,,,,,1,1,1,0,0,,,,,
9,2,16,x,k,n,g,k,,,,,,1,1,0,0,1,,,,,
9,2,17,z,m,c,f,x,,,,,,0,0,0,1,0,,,,,
9,2,18,l,s,v,k,d,,,,,,0,0,0,0,1,,,,,
9,2,19,z,c,c,w,f,,,,,,0,1,1,1,1,,,,,
9,2,20,p,q,j,g,f,,,,,,0,1,1,1,0,,,,,
9,2,21,d,g,n,k,l,,,,,,0,1,0,1,0,,,,,
9,2,22,j,p,p,n,k,,,,,,1,1,1,1,1,,,,,
9,2,23,s,m,s,h,j,,,,,,1,1,1,1,0,,,,,
9,3,24,q,t,r,t,c,,,,,,0,1,1,1,0,,,,,
9,3,25,j,s,d,l,n,,,,,,1,1,0,1,0,,,,,
9,3,26,l,f,j,x,l,,,,,,1,0,1,1,1,,,,,
9,3,27,c,t,l,n,k,,,,,,1,1,0,1,0,,,,,
9,3,28,p,t,k,t,s,,,,,,0,0,0,1,0,,,,,
9,3,29,x,n,z,v,k,,,,,,1,1,0,1,1,,,,,
9,3,30,p,h,p,s,n,,,,,,1,1,0,1,1,,,,,
9,3,31,z,c,f,n,z,,,,,,0,1,1,1,1,,,,,
9,3,32,t,k,s,k,x,,,,,,1,1,0,0,0,,,,,
9,3,33,s,m,t,n,j,,,,,,1,0,1,0,0,,,,,
9,4,34,c,c,s,b,c,,,,,,1,1,0,1,0,,,,,
9,4,35,h,m,j,h,b,,,,,,1,0,0,0,0,,,,,
9,4,36,z,w,w,b,n,,,,,,1,1,0,1,0,,,,,
9,4,37,f,g,j,x,l,,,,,,0,1,1,0,1,,,,,
9,4,38,x,x,z,n,z,,,,,,1,1,0,0,0,,,,,
9,4,39,l,q,n,p,x,,,,,,0,1,0,1,1,,,,,
9,4,40,r,s,m,m,z,,,,,,1,0,0,1,0,,,,,
9,4,41,w,x,l,r,l,,,,,,1,0,0,1,0,,,,,
9,4,42,c,z,x,k,m,,,,,,0,0,1,0,1,,,,,
9,5,43,g,k,t,p,q,,,,,,1,0,1,0,1,,,,,
9,5,44,g,r,l,n,d,,,,,,0,0,1,1,1,,,,,
9,5,45,c,x,q,v,r,,,,,,0,0,1,0,0,,,,,
9,5,46,q,q,k,q,d,,,,,,0,0,1,0,1,,,,,
9,5,47,s,k,s,z,f,,,,,,1,1,0,1,1,,,,,
9,5,48,p,m,n,v,q,,,,,,1,1,1,0,1,,,,,
9,5,49,r,m,l,f,q,,,,,,0,0,0,0,1,,,,,
9,5,50,f,s,s,g,j,,,,,,1,0,0,1,0,,,,,
9,5,51,b,x,x,d,r,,,,,,1,0,0,1,0,,,,,
9,5,52,w,f,n,w,s,,,,,,0,1,1,1,1,,,,,
