participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
11,1,1,c,q,n,p,d,,,,,,1,0,1,0,0,,,,,
11,1,2,v,p,l,q,s,,,,,,0,1,1,1,1,,,,,
11,1,3,r,p,w,p,n,,,,,,0,1,0,0,1,,,,,
11,1,4,c,x,m,w,x,,,,,,1,0,1,1,1,,,,,
11,1,5,c,k,t,q,x,,,,,,0,1,1,1,1,,,,,
11,1,6,s,j,j,n,g,,,,,,1,1,1,1,0,,,,,
11,1,7,s,p,b,d,q,,,,,,1,1,1,0,0,,,,,
11,1,8,t,w,l,k,f,,,,,,0,1,0,1,1,,,,,
11,1,9,w,g,p,x,b,,,,,,1,1,1,0,1,,,,,
11,1,10,k,d,x,z,n,,,,,,0,1,1,0,0,,,,,
11,1,11,z,g,d,b,l,,,,,,0,1,0,0,0,,,,,
11,1,12,c,g,m,x,h,,,,,,1,0,0,0,1,,,,,
11,1,13,r,s,l,m,g,,,,,,0,0,1,1,0,,,,,
11,2,14,t,z,p,q,c,,,,,,0,0,1,0,0,,,,,
11,2,15,b,p,z,d,l,,,,,,1,1,1,1,1,,,,,
11,2,16,s,n,n,k,b,,,,,,1,0,1,0,1,,,,,
11,2,17,r,n,r,v,d,,,,,,1,1,1,1,1,,,,,
11,2,18,g,z,t,m,g,,,,,,1,0,1,1,1,,,,,
11,2,19,h,h,k,c,g,,,,,,0,1,0,1,0,,,,,
11,2,20,b,c,r,l,t,,,,,,1,0,0,0,1,,,,,
11,2,21,c,q,g,v,r,,,,,,0,0,1,1,1,,,,,
11,2,22,w,m,z,n,k,,,,,,1,1,0,0,1,,,,,
11,2,23,j,k,v,w,b,,,,,,1,1,0,1,1,,,,,
11,2,24,g,v,c,g,l,,,,,,0,1,1,0,0,,,,,
11,2,25,x,w,l,k,t,,,,,,0,1,0,0,0,,,,,
11,2,26,q,s,s,f,f,,,,,,1,1,0,1,0,,,,,
11,2,27,g,g,m,c,j,,,,,,0,0,1,0,1,,,,,
11,2,28,j,b,l,j,t,,,,,,0,0,1,1,0,,,,,
11,3,29,h,h,f,g,j,,,,,,1,0,0,1,1,,,,,
11,3,30,c,x,j,g,z,,,,,,1,0,1,0,1,,,,,
11,3,31,n,z,r,r,m,,,,,,1,1,1,1,1,,,,,
11,3,32,n,h,f,m,h,,,,,,0,0,0,0,1,,,,,
11,3,33,f,z,x,w,l,,,,,,0,0,1,0,0,,,,,
11,3,34,v,w,v,g,x,,,,,,0,1,1,1,0,,,,,
11,3,35,v,r,n,t,x,,,,,,1,0,1,0,1,,,,,
11,3,36,k,t,p,m,x,,,,,,0,1,1,0,0,,,,,
11,3,37,c,f,g,n,h,,,,,,1,0,0,1,0,,,,,
11,3,38,n,k,z,s,h,,,,,,0,1,1,0,0,,,,,
11,3,39,b,j,f,d,b,,,,,,0,1,1,1,0,,,,,
11,3,40,s,g,h,r,z,,,,,,0,0,1,1,0,,,,,
11,3,41,x,p,r,n,x,,,,,,0,1,1,1,0,,,,,
11,3,42,q,p,s,s,t,,,,,,0,1,0,0,1,,,,,
11,3,43,r,p,m,q,w,,,,,,1,0,0,0,0,,,,,
11,4,44,r,m,f,m,p,,,,,,1,0,1,1,0,,,,,
11,4,45,z,d,m,l,t,,,,,,1,1,1,0,0,,,,,
11,4,46,w,k,j,p,k,,,,,,0,1,0,0,1,,,,,
11,4,47,w,d,l,c,m,,,,,,1,0,1,0,0,,,,,
11,4,48,q,m,b,j,r,,,,,,0,0,1,0,1,,,,,
11,4,49,x,w,n,g,p,,,,,,1,0,1,1,0,,,,,
11,4,50,s,r,k,h,d,,,,,,0,1,1,1,1,,,,,
11,4,51,f,t,t,p,n,,,,,,1,1,0,1,0,,,,,
11,4,52,l,s,q,g,m,,,,,,0,0,1,0,1,,,,,
11,4,53,h,x,x,x,v,,,,,,1,0,0,1,1,,,,,
11,4,54,x,x,w,n,c,,,,,,0,1,1,0,1,,,,,
11,4,55,v,w,v,n,v,,,,,,1,0,0,1,0,,,,,
11,4,56,p,t,n,h,r,,,,,,1,1,0,1,0,,,,,
11,4,57,x,n,f,g,l,,,,,,0,1,0,1,0,,,,,
11,4,58,r,p,w,v,j,,,,,,0,0,1,0,0,,,,,
11,4,59,q,t,m,x,b,,,,,,1,0,1,0,0,,,,,
11,5,60,l,z,n,t,d,,,,,,0,1,0,0,0,,,,,
11,5,61,t,q,p,f,m,,,,,,1,1,0,1,0,,,,,
11,5,62,z,s,s,w,l,,,,,,1,1,0,0,1,,,,,
11,5,63,c,r,h,c,t,,,,,,0,0,0,1,1,,,,,
11,5,64,g,h,q,s,t,,,,,,1,0,1,0,0,,,,,
11,5,65,p,c,w,t,k,,,,,,1,0,0,1,1,,,,,
11,5,66,s,k,w,r,d,,,,,,1,1,1,0,0,,,,,
11,5,67,p,k,f,f,p,,,,,,1,0,1,1,0,,,,,
11,5,68,x,s,v,m,r,,,,,,1,0,1,0,1,,,,,
11,5,69,g,j,l,t,x,,,,,,0,1,0,1,1,,,,,
11,5,70,q,c,z,f,r,,,,,,0,0,1,0,1,,,,,
11,5,71,t,d,l,z,s,,,,,,1,1,1,0,0,,,,,
11,5,72,w,x,h,k,w,,,,,,1,1,1,1,0,,,,,
11,5,73,d,g,x,r,j,,,,,,0,1,0,1,0,,,,,
