participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
3,1,1,q,c,t,w,k,,,,,,1,1,0,1,1,,,,,
3,1,2,h,j,n,m,s,,,,,,0,1,1,0,0,,,,,
3,1,3,w,l,m,z,n,,,,,,0,0,1,0,1,,,,,
3,1,4,x,g,c,r,f,,,,,,0,0,0,0,0,,,,,
3,1,5,j,w,p,j,q,,,,,,1,0,1,1,1,,,,,
3,1,6,c,r,t,k,r,,,,,,0,0,1,0,1,,,,,
3,1,7,k,q,s,d,f,,,,,,1,0,1,1,0,,,,,
3,1,8,n,s,b,v,c,,,,,,1,0,1,1,1,,,,,
3,1,9,l,p,l,l,b,,,,,,1,1,1,0,0,,,,,
3,1,10,d,w,z,q,r,,,,,,1,1,1,1,0,,,,,
3,1,11,c,b,w,v,j,,,,,,1,1,1,1,0,,,,,
3,1,12,s,w,x,s,z,,,,,,0,0,1,0,0,,,,,
3,2,13,z,p,s,j,m,,,,,,1,1,0,0,1,,,,,
3,2,14,c,n,l,n,b,,,,,,1,0,0,1,0,,,,,
3,2,15,d,k,r,j,v,,,,,,1,0,1,1,0,,,,,
3,2,16,c,l,r,q,k,,,,,,1,1,0,1,1,,,,,
3,2,17,v,b,m,v,n,,,,,,0,1,0,0,0,,,,,
3,2,18,c,g,b,k,l,,,,,,0,1,0,1,0,,,,,
3,2,19,t,x,w,g,v,,,,,,1,0,0,1,1,,,,,
3,2,20,z,t,n,t,c,,,,,,1,0,1,0,1,,,,,
3,2,21,k,f,n,x,z,,,,,,1,0,0,1,0,,,,,
3,2,22,t,b,r,z,d,,,,,,1,0,0,1,0,,,,,
3,2,23,f,p,j,n,w,,,,,,0,1,1,1,0,,,,,
3,3,24,l,f,p,j,t,,,,,,1,1,0,0,1,,,,,
3,3,25,m,d,z,k,w,,,,,,0,1,0,1,0,,,,,
3,3,26,h,s,c,b,n,,,,,,1,1,0,1,1,,,,,
3,3,27,d,w,v,m,n,,,,,,1,0,0,0,0,,,,,
3,3,28,j,n,m,x,c,,,,,,1,1,0,0,0,,,,,
3,3,29,l,n,v,p,d,,,,,,0,0,0,1,0,,,,,
3,3,30,m,q,j,x,z,,,,,,0,1,1,1,1,,,,,
3,3,31,l,c,h,n,d,,,,,,1,1,0,1,0,,,,,
3,4,32,n,z,w,h,q,,,,,,1,0,0,1,0,,,,,
3,4,33,w,p,x,x,n,,,,,,1,0,0,0,1,,,,,
3,4,34,x,w,z,r,f,,,,,,1,1,0,0,0,,,,,
3,4,35,m,m,z,h,m,,,,,,1,1,0,1,1,,,,,
3,4,36,z,p,t,v,m,,,,,,0,0,0,1,1,,,,,
3,4,37,p,r,s,j,x,,,,,,1,1,0,0,1,,,,,
3,4,38,g,q,l,r,r,,,,,,1,0,1,1,1,,,,,
3,4,39,f,p,z,c,x,,,,,,1,1,1,1,0,,,,,
3,4,40,h,p,g,d,f,,,,,,0,1,1,1,0,,,,,
3,4,41,n,q,h,v,v,,,,,,1,0,0,0,0,,,,,
3,5,42,w,l,m,t,j,,,,,,1,0,0,0,1,,,,,
3,5,43,v,m,v,z,q,,,,,,1,0,1,0,0,,,,,
3,5,44,n,j,b,b,c,,,,,,0,1,1,1,1,,,,,
3,5,45,n,x,t,r,d,,,,,,1,0,0,1,0,,,,,
3,5,46,d,p,s,k,w,,,,,,0,1,0,0,1,,,,,
3,5,47,z,v,h,m,j,,,,,,0,1,0,1,1,,,,,
3,5,48,z,f,l,c,k,,,,,,1,1,1,0,1,,,,,
3,5,49,m,f,j,m,z,,,,,,1,1,1,0,1,,,,,
3,5,50,t,c,s,q,n,,,,,,0,0,0,1,1,,,,,
