participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
4,1,1,b,h,l,z,x,,,,,,0,1,1,1,0,,,,,
4,1,2,c,q,p,h,b,,,,,,0,1,1,1,1,,,,,
4,1,3,z,b,l,l,n,,,,,,0,0,1,0,0,,,,,
4,1,4,s,v,b,m,d,,,,,,0,1,0,1,0,,,,,
4,1,5,f,f,w,j,w,,,,,,0,0,0,1,1,,,,,
4,1,6,r,s,l,m,g,,,,,,0,0,1,0,1,,,,,
4,1,7,s,t,z,q,x,,,,,,1,0,0,0,1,,,,,
4,1,8,p,b,v,l,h,,,,,,0,0,1,0,1,,,,,
4,1,9,q,k,r,q,t,,,,,,1,1,1,0,1,,,,,
4,1,10,c,n,r,t,m,,,,,,0,0,1,0,1,,,,,
4,2,11,f,r,k,q,n,,,,,,0,0,1,1,0,,,,,
4,2,12,d,f,q,q,z,,,,,,1,1,1,0,0,,,,,
4,2,13,s,p,k,q,c,,,,,,0,0,1,1,1,,,,,
4,2,14,b,j,t,d,n,,,,,,0,0,1,1,1,,,,,
4,2,15,x,j,b,s,b,,,,,,0,0,1,1,1,,,,,
4,2,16,h,r,d,l,b,,,,,,1,1,1,1,1,,,,,
4,2,17,j,s,p,p,v,,,,,,0,1,1,1,0,,,,,
4,2,18,q,f,s,n,v,,,,,,1,1,1,1,1,,,,,
4,2,19,f,q,l,c,j,,,,,,1,1,0,0,1,,,,,
4,3,20,d,d,p,k,s,,,,,,0,1,0,0,1,,,,,
4,3,21,c,r,w,g,n,,,,,,0,1,0,1,1,,,,,
4,3,22,s,l,l,n,m,,,,,,1,1,1,1,0,,,,,
4,3,23,h,g,k,n,p,,,,,,0,0,0,0,0,,,,,
4,3,24,b,x,c,b,t,,,,,,1,0,1,0,1,,,,,
4,3,25,t,x,n,g,b,,,,,,0,0,1,0,0,,,,,
4,3,26,j,q,h,j,k,,,,,,1,1,1,1,0,,,,,
4,3,27,c,q,m,n,b,,,,,,0,1,1,1,0,,,,,
4,3,28,w,g,k,b,q,,,,,,1,0,1,0,0,,,,,
4,3,29,r,r,g,r,w,,,,,,1,0,0,0,1,,,,,
4,4,30,m,j,f,h,s,,,,,,0,0,0,0,0,,,,,
4,4,31,v,z,l,b,j,,,,,,1,0,1,0,1,,,,,
4,4,32,t,l,j,c,z,,,,,,1,0,0,1,0,,,,,
4,4,33,b,q,v,r,w,,,,,,1,0,0,1,0,,,,,
4,4,34,l,m,f,j,n,,,,,,0,1,1,0,0,,,,,
4,4,35,b,q,d,t,j,,,,,,1,0,0,1,1,,,,,
4,4,36,d,w,z,k,h,,,,,,1,0,1,1,1,,,,,
4,4,37,h,j,m,b,z,,,,,,0,0,1,0,0,,,,,
4,4,38,b,s,x,j,n,,,,,,1,1,0,1,0,,,,,
4,4,39,f,g,k,l,g,,,,,,0,1,1,1,1,,,,,
4,4,40,j,n,m,w,j,,,,,,1,0,0,1,0,,,,,
4,5,41,x,z,x,f,l,,,,,,0,1,1,1,0,,,,,
4,5,42,t,v,n,l,w,,,,,,1,1,0,0,1,,,,,
4,5,43,q,h,s,z,k,,,,,,0,1,0,1,0,,,,,
4,5,44,b,q,c,m,k,,,,,,0,1,0,0,0,,,,,
4,5,45,x,q,r,j,n,,,,,,1,0,1,0,0,,,,,
4,5,46,f,d,k,b,c,,,,,,1,0,0,0,1,,,,,
4,5,47,q,z,l,v,z,,,,,,1,0,0,1,0,,,,,
4,5,48,q,r,q,d,k,,,,,,0,1,0,0,1,,,,,
4,5,49,f,q,w,r,q,,,,,,1,1,1,1,1,,,,,
4,5,50,p,g,s,p,z,,,,,,0,0,0,0,0,,,,,
4,5,51,p,q,f,j,s,,,,,,1,0,1,0,1,,,,,
