participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
4,5,1,x,z,x,f,l,,,,,,0,0,0,1,0,,,,,
4,5,2,t,v,n,l,w,,,,,,1,1,0,0,1,,,,,
4,5,3,q,h,s,z,k,,,,,,0,1,0,1,0,,,,,
4,5,4,b,q,c,m,k,,,,,,0,1,0,0,0,,,,,
4,5,5,x,q,r,j,n,,,,,,1,0,1,0,0,,,,,
4,5,6,f,d,k,b,c,,,,,,1,0,0,0,1,,,,,
4,5,7,q,z,l,v,z,,,,,,1,0,0,1,0,,,,,
4,5,8,q,r,q,d,k,,,,,,0,1,0,0,1,,,,,
4,5,9,f,q,w,r,q,,,,,,1,1,1,1,1,,,,,
4,5,10,p,g,s,p,z,,,,,,0,0,0,0,0,,,,,
4,5,11,p,q,f,j,s,,,,,,1,0,1,0,1,,,,,
