participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
6,1,1,j,f,j,m,x,,,,,,0,1,0,1,0,,,,,
6,1,2,m,t,v,m,t,,,,,,1,0,0,1,0,,,,,
6,1,3,c,t,k,b,c,,,,,,0,1,1,1,1,,,,,
6,1,4,q,r,j,p,g,,,,,,1,1,0,0,1,,,,,
6,1,5,w,m,n,m,d,,,,,,1,1,0,0,0,,,,,
6,1,6,m,n,t,b,g,,,,,,1,1,1,0,1,,,,,
6,1,7,v,p,g,c,z,,,,,,0,0,0,1,0,,,,,
6,1,8,q,h,t,q,v,,,,,,0,0,0,1,0,,,,,
6,1,9,r,w,m,b,x,,,,,,0,0,1,1,0,,,,,
6,1,10,v,l,k,n,h,,,,,,0,1,0,1,0,,,,,
6,1,11,w,r,p,l,c,,,,,,1,0,0,0,0,,,,,
6,1,12,q,f,r,z,v,,,,,,0,1,1,0,0,,,,,
6,1,13,m,r,z,v,g,,,,,,0,0,0,0,0,,,,,
6,1,14,b,h,f,q,f,,,,,,0,0,1,0,0,,,,,
6,2,15,p,d,n,t,w,,,,,,1,1,0,0,1,,,,,
6,2,16,h,j,h,h,f,,,,,,0,0,0,0,1,,,,,
6,2,17,j,m,x,z,n,,,,,,1,1,0,0,1,,,,,
6,2,18,s,g,k,m,v,,,,,,1,0,1,1,0,,,,,
6,2,19,c,j,j,d,q,,,,,,1,0,0,0,0,,,,,
6,2,20,d,r,w,q,k,,,,,,0,1,1,1,1,,,,,
6,2,21,w,d,l,g,r,,,,,,0,0,1,0,0,,,,,
6,2,22,c,p,t,s,v,,,,,,0,1,0,0,0,,,,,
6,2,23,h,m,c,q,h,,,,,,1,1,0,0,1,,,,,
6,2,24,k,c,q,f,j,,,,,,0,0,1,1,0,,,,,
6,2,25,f,q,p,k,x,,,,,,0,1,1,0,0,,,,,
6,2,26,c,c,p,j,t,,,,,,1,0,0,1,1,,,,,
6,2,27,f,t,z,t,b,,,,,,0,1,0,1,1,,,,,
6,2,28,x,z,l,q,k,,,,,,1,1,0,0,1,,,,,
6,3,29,t,w,c,h,w,,,,,,0,1,0,0,0,,,,,
6,3,30,f,z,g,v,t,,,,,,0,1,0,1,0,,,,,
6,3,31,x,h,v,x,v,,,,,,1,1,0,1,0,,,,,
6,3,32,l,w,t,n,j,,,,,,1,1,0,0,1,,,,,
6,3,33,d,j,w,z,p,,,,,,0,0,0,1,0,,,,,
6,3,34,v,h,f,s,m,,,,,,0,0,0,1,0,,,,,
6,3,35,x,r,j,q,g,,,,,,1,1,1,0,1,,,,,
6,3,36,w,v,d,k,h,,,,,,1,0,1,0,1,,,,,
6,3,37,x,k,b,t,r,,,,,,1,0,0,1,0,,,,,
6,3,38,p,q,q,q,f,,,,,,1,1,1,1,1,,,,,
6,3,39,t,g,f,z,w,,,,,,0,0,1,1,1,,,,,
6,3,40,f,t,k,g,v,,,,,,0,0,1,1,0,,,,,
6,4,41,k,p,m,w,g,,,,,,0,0,0,0,1,,,,,
6,4,42,w,n,x,j,w,,,,,,0,1,1,1,1,,,,,
6,4,43,r,s,d,q,p,,,,,,1,0,0,1,1,,,,,
6,4,44,w,k,l,b,h,,,,,,0,0,0,0,0,,,,,
6,4,45,d,k,r,n,v,,,,,,0,1,0,0,1,,,,,
6,4,46,t,p,x,k,x,,,,,,1,0,0,0,0,,,,,
6,4,47,w,h,x,j,k,,,,,,1,1,0,0,0,,,,,
6,4,48,g,z,q,d,l,,,,,,1,1,0,1,0,,,,,
6,4,49,c,c,j,k,z,,,,,,0,1,1,1,1,,,,,
6,4,50,w,q,d,q,s,,,,,,0,1,0,1,0,,,,,
6,4,51,x,g,w,j,c,,,,,,0,0,0,0,1,,,,,
6,5,52,n,q,w,h,z,,,,,,1,1,0,0,0,,,,,
6,5,53,k,t,m,q,n,,,,,,1,0,0,0,1,,,,,
6,5,54,b,b,s,w,d,,,,,,0,0,1,0,0,,,,,
6,5,55,w,f,t,w,k,,,,,,0,0,1,0,0,,,,,
6,5,56,d,t,l,c,b,,,,,,1,0,0,1,1,,,,,
6,5,57,x,t,l,w,c,,,,,,1,0,1,0,0,,,,,
6,5,58,f,s,m,m,x,,,,,,0,0,1,0,0,,,,,
6,5,59,l,j,x,q,n,,,,,,0,1,1,1,1,,,,,
6,5,60,n,b,s,j,d,,,,,,1,0,1,0,0,,,,,
6,5,61,c,h,b,d,x,,,,,,0,0,0,1,0,,,,,
6,5,62,p,w,l,t,c,,,,,,0,1,1,1,1,,,,,
6,5,63,r,x,x,n,r,,,,,,1,1,1,0,1,,,,,
6,5,64,q,f,p,d,x,,,,,,1,1,1,0,1,,,,,
6,5,65,c,r,k,t,x,,,,,,0,1,0,1,1,,,,,
