,participant,condition,hazard,hazard_type,tor_start,tor_end,tor_duration_ms,tor_intervened,tor_ttr_ms,tor_ttc_ms,tor_too_late_reaction,tor_no_reaction,tor_min_dist_hazard,tor_max_brake,tor_mean_brake,tor_mdn_brake,tor_max_steer,tor_mean_steer,tor_mdn_steer,tor_look_at_critical,tor_deactivated_critical,tor_deactivated_pedestrians,tor_pedestrians_max,warning_strategy,gaze_adaptivity,baseline
0,4,1,1,RollingWheel,2021-08-27 17:17:07.022,2021-08-27 17:17:20.994,13972.0,2021-08-27 17:17:08.770,1748.0,12224.0,0.0,0.0,1.4412841496387876,0.546868,0.03177008556149735,0.0,0.11033333333333334,0.016830659536541885,0.006666666666666667,1,1,5,7,,,baseline
1,4,1,2,Bus,2021-08-27 17:18:05.509,2021-08-27 17:18:17.940,12431.0,2021-08-27 17:18:08.306,2797.0,9634.0,0.0,0.0,3.8308354180256803,0.317448,0.01790902272727272,0.0,0.033666666666666664,0.014210227272727322,0.017666666666666667,1,1,3,5,,,baseline
2,4,1,3,Ball,2021-08-27 17:19:03.893,2021-08-27 17:19:13.407,9514.0,2021-08-27 17:19:05.740,1847.0,7667.0,0.0,0.0,3.000266654815868,0.40871399999999997,0.03341901951219513,0.0,0.128,0.03855447154471549,0.0026666666666666666,1,1,4,5,,,baseline
3,4,1,4,Ball,2021-08-27 17:20:05.406,2021-08-27 17:20:15.949,10543.0,2021-08-27 17:20:07.565,2159.0,8384.0,0.0,0.0,3.623534186398681,0.174594,0.013646482758620687,0.0,0.07200000000000001,0.029671264367816093,0.028333333333333332,1,1,4,7,,,baseline
4,4,1,5,RollingWheel,2021-08-27 17:21:05.030,2021-08-27 17:21:13.784,8754.0,2021-08-27 17:21:05.917,887.0,7867.0,0.0,0.0,3.1257799026802924,0.123002,0.00706142699724518,0.0,0.10333333333333333,0.028807162534435285,0.007,1,1,2,4,,,baseline
5,4,1,6,Bus,2021-08-27 17:21:59.940,2021-08-27 17:22:08.935,8995.0,2021-08-27 17:22:01.410,1470.0,7525.0,0.0,0.0,3.800473654690951,0.242054,0.01663134426229508,0.0,0.025666666666666667,0.013722222222222217,0.015000000000000001,1,1,5,7,,,baseline
6,4,1,7,Bus,2021-08-27 17:23:00.829,2021-08-27 17:23:12.366,11537.0,2021-08-27 17:23:02.989,2160.0,9377.0,0.0,0.0,3.230061918911153,0.16666,0.010051913043478262,0.0,0.032,0.006362318840579713,0.004,1,1,4,7,,,baseline
7,4,1,8,RollingWheel,2021-08-27 17:23:54.650,2021-08-27 17:24:02.997,8347.0,2021-08-27 17:23:55.788,1138.0,7209.0,0.0,0.0,2.7758422145359667,0.499992,0.05289729971988797,0.0,0.16533333333333333,0.058236227824463194,0.030333333333333334,1,1,0,5,,,baseline
8,4,1,9,Ball,2021-08-27 17:24:52.360,2021-08-27 17:25:03.915,11555.0,2021-08-27 17:24:54.302,1942.0,9613.0,0.0,0.0,2.9100171820798595,0.174594,0.013695477732793525,0.0,0.041666666666666664,0.01705060728744937,0.019,1,1,4,3,,,baseline
9,4,2,1,RollingWheel,2021-08-27 17:00:19.480,2021-08-27 17:00:24.859,5379.0,,,,,1.0,1.6858232410309202,0.0,0.0,0.0,0.076,0.0125133020344288,0.0003333333333333333,1,1,1,5,constant,gaze,not baseline
10,4,2,2,Ball,2021-08-27 17:01:21.823,2021-08-27 17:01:27.262,5439.0,2021-08-27 17:01:23.225,1402.0,4037.0,0.0,0.0,3.0010664771044313,0.0,0.0,0.0,0.043333333333333335,0.0071804281345565785,0.0013333333333333333,1,1,4,6,constant,gaze,not baseline
11,4,2,3,Ball,2021-08-27 17:02:20.088,2021-08-27 17:02:25.263,5175.0,2021-08-27 17:02:22.751,2663.0,2512.0,0.0,0.0,2.6212210894924577,0.0,0.0,0.0,0.057666666666666665,0.015156398104265395,0.001,0,0,3,6,constant,gaze,not baseline
12,4,2,4,Ball,2021-08-27 17:03:16.761,2021-08-27 17:03:28.674,11913.0,2021-08-27 17:03:17.664,903.0,11010.0,0.0,0.0,2.1958369702689566,0.0,0.0,0.0,0.07333333333333333,0.03562556053811665,0.03666666666666667,1,1,3,2,constant,gaze,not baseline
13,4,2,5,RollingWheel,2021-08-27 17:04:25.859,2021-08-27 17:04:29.694,3835.0,2021-08-27 17:04:27.600,1741.0,2094.0,0.0,0.0,3.5858611239143534,0.0,0.0,0.0,0.155,0.054052083333333334,0.036000000000000004,1,1,2,4,constant,gaze,not baseline
14,4,2,6,Bus,2021-08-27 17:05:23.602,2021-08-27 17:05:28.795,5193.0,2021-08-27 17:05:25.410,1808.0,3385.0,0.0,0.0,0.7117583859709551,0.0,0.0,0.0,0.112,0.024241134751773058,0.014,1,1,1,7,constant,gaze,not baseline
15,4,2,7,RollingWheel,2021-08-27 17:06:27.081,2021-08-27 17:06:37.875,10794.0,,,,,1.0,2.2571885167171883,0.44442,0.03748167254408062,0.0,0.11966666666666666,0.0334542401343409,0.01933333333333333,1,1,5,5,constant,gaze,not baseline
16,4,2,8,Bus,2021-08-27 17:07:30.266,2021-08-27 17:07:43.032,12766.0,2021-08-27 17:07:31.907,1641.0,11125.0,0.0,0.0,3.3207378698114614,0.138888,0.011160179166666674,0.0,0.033,0.001964583333333339,0.0006666666666666666,1,1,4,6,constant,gaze,not baseline
17,4,2,9,Bus,2021-08-27 17:08:24.093,2021-08-27 17:08:32.936,8843.0,2021-08-27 17:08:25.012,919.0,7924.0,0.0,0.0,3.0602614267411856,0.5703060000000001,0.07332427950310558,0.0,0.005333333333333333,0.0016966873706004168,0.0006666666666666666,1,1,2,7,constant,gaze,not baseline
18,4,3,1,Bus,2021-08-27 17:31:09.970,2021-08-27 17:31:17.967,7997.0,2021-08-27 17:31:10.512,542.0,7455.0,0.0,0.0,3.704875166587938,0.357122,0.04284755835962145,0.0,0.009333333333333334,0.004993690851735013,0.006666666666666667,1,1,2,4,tor-only,gaze,not baseline
19,4,3,2,RollingWheel,2021-08-27 17:32:09.306,2021-08-27 17:32:17.555,8249.0,2021-08-27 17:32:09.837,531.0,7718.0,0.0,0.0,2.760652096878564,0.33728600000000003,0.03132031446540879,0.0,0.099,0.036414046121593276,0.02,1,1,4,7,tor-only,gaze,not baseline
20,4,3,3,RollingWheel,2021-08-27 17:33:08.781,2021-08-27 17:33:19.335,10554.0,2021-08-27 17:33:10.439,1658.0,8896.0,0.0,0.0,3.256777548436493,0.198398,0.017874913875598097,0.0,0.092,0.028120414673046296,0.016666666666666666,1,1,3,4,tor-only,gaze,not baseline
21,4,3,4,Ball,2021-08-27 17:34:09.975,2021-08-27 17:34:17.495,7520.0,2021-08-27 17:34:11.593,1618.0,5902.0,0.0,0.0,2.4464055264816125,0.365056,0.05199562142857139,0.0,0.12166666666666666,0.0355452380952381,0.011166666666666665,1,1,2,3,tor-only,gaze,not baseline
22,4,3,5,Bus,2021-08-27 17:35:11.950,2021-08-27 17:35:23.478,11528.0,2021-08-27 17:35:13.928,1978.0,9550.0,0.0,0.0,4.335815955503636,0.20633200000000002,0.012833916473317865,0.0,0.017,0.011052590873936601,0.015666666666666666,1,1,1,6,tor-only,gaze,not baseline
23,4,3,6,Ball,2021-08-27 17:36:12.575,2021-08-27 17:36:23.352,10777.0,2021-08-27 17:36:14.165,1590.0,9187.0,0.0,0.0,3.9361529441829513,0.273792,0.025801853658536582,0.0,0.05733333333333333,0.034873983739837515,0.035666666666666666,1,1,7,7,tor-only,gaze,not baseline
24,4,3,7,Ball,2021-08-27 17:37:15.580,2021-08-27 17:37:25.437,9857.0,2021-08-27 17:37:17.579,1999.0,7858.0,0.0,0.0,4.5372238207961395,0.186496,0.01773418994413408,0.0,0.093,0.04180726256983239,0.025666666666666667,1,1,5,7,tor-only,gaze,not baseline
25,4,3,8,RollingWheel,2021-08-27 17:38:20.979,2021-08-27 17:38:30.837,9858.0,2021-08-27 17:38:22.486,1507.0,8351.0,0.0,0.0,2.4400819658363937,0.21031599999999998,0.022075808450704216,0.0,0.054000000000000006,0.015655399061032842,0.015666666666666666,1,1,3,7,tor-only,gaze,not baseline
26,4,3,9,Bus,2021-08-27 17:39:03.803,2021-08-27 17:39:12.748,8945.0,2021-08-27 17:39:05.562,1759.0,7186.0,0.0,0.0,3.6401236242743162,0.309514,0.03777958217270196,0.0,0.026000000000000002,0.010233054781801287,0.004,1,1,1,5,tor-only,gaze,not baseline
27,4,4,1,Bus,2021-08-27 18:03:36.402,2021-08-27 18:03:48.292,11890.0,2021-08-27 18:03:38.199,1797.0,10093.0,0.0,0.0,3.8010656400541145,0.22618400000000002,0.03086429707112966,0.0,0.011333333333333334,0.007530683403068331,0.008666666666666666,1,1,3,3,constant,no gaze,not baseline
28,4,4,2,Ball,2021-08-27 18:04:19.860,2021-08-27 18:04:28.587,8727.0,2021-08-27 18:04:21.420,1560.0,7167.0,0.0,0.0,3.29,0.519524,0.08745282352941171,0.0,0.13166666666666668,0.03426797385620912,0.008333333333333333,1,1,3,5,constant,no gaze,not baseline
