participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
13,1,1,t,h,k,f,b,,,,,,1,1,1,1,0,,,,,
13,1,2,n,l,f,t,h,,,,,,1,1,1,0,1,,,,,
13,1,3,d,v,j,z,m,,,,,,1,0,1,0,1,,,,,
13,1,4,j,m,g,d,k,,,,,,1,1,0,0,1,,,,,
13,1,5,j,b,n,m,w,,,,,,1,0,0,0,0,,,,,
13,1,6,d,s,g,m,w,,,,,,0,1,0,1,1,,,,,
13,1,7,l,j,j,n,r,,,,,,1,1,1,0,1,,,,,
13,1,8,k,n,d,l,x,,,,,,0,0,1,1,0,,,,,
13,1,9,g,q,w,x,p,,,,,,1,1,0,1,1,,,,,
13,1,10,h,g,r,j,r,,,,,,0,1,0,0,0,,,,,
13,1,11,d,r,c,w,g,,,,,,1,0,0,0,1,,,,,
13,1,12,r,m,n,n,s,,,,,,1,1,0,1,1,,,,,
13,1,13,w,f,h,m,v,,,,,,0,0,1,1,0,,,,,
13,1,14,t,n,z,c,p,,,,,,0,0,1,0,1,,,,,
13,1,15,w,h,d,w,m,,,,,,0,0,0,0,0,,,,,
13,1,16,c,v,m,x,z,,,,,,0,1,1,0,1,,,,,
13,2,17,q,g,t,l,w,,,,,,0,1,1,1,1,,,,,
13,2,18,x,l,g,g,v,,,,,,0,1,1,0,1,,,,,
13,2,19,k,s,l,v,q,,,,,,0,1,1,1,0,,,,,
13,2,20,p,n,s,p,b,,,,,,1,0,1,0,0,,,,,
13,2,21,n,p,x,f,j,,,,,,0,1,0,0,1,,,,,
13,2,22,r,p,v,v,f,,,,,,1,1,1,0,1,,,,,
13,2,23,g,j,x,h,z,,,,,,0,0,0,0,1,,,,,
13,2,24,r,k,w,b,m,,,,,,0,0,1,0,1,,,,,
13,2,25,f,p,b,d,f,,,,,,1,1,1,1,1,,,,,
13,2,26,c,k,d,g,p,,,,,,0,1,0,1,0,,,,,
13,2,27,r,c,j,c,f,,,,,,0,0,0,0,1,,,,,
13,2,28,j,l,s,d,r,,,,,,0,1,1,0,0,,,,,
13,2,29,f,r,g,c,m,,,,,,0,0,0,0,1,,,,,
13,2,30,w,d,t,t,r,,,,,,0,1,1,0,1,,,,,
13,2,31,x,x,s,v,z,,,,,,1,1,1,1,0,,,,,
13,3,32,z,l,q,b,b,,,,,,0,0,0,0,1,,,,,
13,3,33,z,g,t,f,f,,,,,,0,1,0,1,0,,,,,
13,3,34,c,p,h,h,g,,,,,,0,1,0,1,0,,,,,
13,3,35,x,v,k,q,t,,,,,,1,1,0,0,0,,,,,
13,3,36,m,x,t,x,b,,,,,,0,0,1,0,1,,,,,
13,3,37,z,b,h,x,x,,,,,,1,1,0,0,1,,,,,
13,3,38,k,w,f,s,b,,,,,,1,1,1,0,0,,,,,
13,3,39,z,r,r,w,j,,,,,,1,0,1,1,0,,,,,
13,3,40,q,l,k,r,h,,,,,,0,1,1,0,1,,,,,
13,3,41,x,s,l,r,n,,,,,,0,0,1,0,1,,,,,
13,3,42,l,p,z,k,v,,,,,,0,1,0,1,1,,,,,
13,3,43,k,v,q,w,c,,,,,,1,0,1,1,0,,,,,
13,4,44,b,b,b,r,k,,,,,,1,1,1,1,0,,,,,
13,4,45,z,h,m,m,x,,,,,,0,0,0,1,0,,,,,
13,4,46,g,t,p,v,f,,,,,,0,0,1,1,0,,,,,
13,4,47,z,r,f,x,s,,,,,,0,0,1,0,1,,,,,
13,4,48,g,f,t,k,x,,,,,,1,0,0,1,0,,,,,
13,4,49,s,d,q,b,p,,,,,,0,0,0,0,0,,,,,
13,4,50,x,n,l,f,h,,,,,,1,1,1,1,0,,,,,
13,4,51,m,t,l,d,f,,,,,,0,0,0,1,1,,,,,
13,4,52,l,z,t,b,n,,,,,,0,0,0,0,0,,,,,
13,4,53,j,r,g,b,j,,,,,,1,0,1,1,1,,,,,
13,4,54,f,p,x,p,w,,,,,,0,0,1,0,1,,,,,
13,4,55,x,s,v,q,d,,,,,,1,1,1,1,0,,,,,
13,4,56,h,v,m,j,d,,,,,,1,0,1,1,0,,,,,
13,4,57,z,v,r,v,h,,,,,,0,0,0,1,0,,,,,
13,5,58,r,t,m,x,w,,,,,,1,1,0,0,0,,,,,
13,5,59,f,s,h,q,v,,,,,,0,1,0,1,1,,,,,
13,5,60,z,h,q,s,w,,,,,,0,0,0,1,0,,,,,
13,5,61,b,c,c,r,p,,,,,,1,0,0,0,0,,,,,
13,5,62,m,x,l,c,d,,,,,,0,1,1,1,1,,,,,
13,5,63,b,p,d,k,t,,,,,,1,0,1,1,1,,,,,
13,5,64,p,w,l,b,c,,,,,,1,0,0,1,1,,,,,
13,5,65,c,w,j,m,t,,,,,,0,1,1,1,0,,,,,
13,5,66,p,r,p,s,z,,,,,,1,1,1,0,1,,,,,
13,5,67,f,n,c,q,c,,,,,,1,0,0,1,0,,,,,
13,5,68,q,v,p,d,k,,,,,,0,1,0,0,0,,,,,
13,5,69,p,m,d,b,z,,,,,,0,0,0,0,0,,,,,
13,5,70,m,w,c,c,g,,,,,,0,1,0,0,1,,,,,
13,5,71,j,x,q,m,c,,,,,,0,1,0,1,0,,,,,
13,5,72,d,g,t,c,k,,,,,,1,1,1,0,0,,,,,
13,5,73,t,m,c,k,v,,,,,,0,1,1,0,1,,,,,
