participant,condition,task,correct_char_1,correct_char_2,correct_char_3,correct_char_4,correct_char_5,given_char_1,given_char_2,given_char_3,given_char_4,given_char_5,correct_bool_1,correct_bool_2,correct_bool_3,correct_bool_4,correct_bool_5,given_bool_1,given_bool_2,given_bool_3,given_bool_4,given_bool_5
12,1,1,f,s,h,d,p,,,,,,1,1,1,0,1,,,,,
12,1,2,g,r,d,n,z,,,,,,0,0,1,1,0,,,,,
12,1,3,w,k,h,b,m,,,,,,0,1,0,1,1,,,,,
12,1,4,b,q,t,d,z,,,,,,1,1,1,1,0,,,,,
12,1,5,p,g,g,g,h,,,,,,0,0,0,0,1,,,,,
12,1,6,j,f,b,v,c,,,,,,1,1,0,0,0,,,,,
12,1,7,h,s,t,k,b,,,,,,0,0,0,0,1,,,,,
12,1,8,q,f,n,z,g,,,,,,0,0,1,1,1,,,,,
12,1,9,q,n,z,h,p,,,,,,0,0,1,1,1,,,,,
12,1,10,p,s,j,p,t,,,,,,1,1,0,1,1,,,,,
12,1,11,p,k,t,g,d,,,,,,1,1,1,1,1,,,,,
12,2,12,w,k,j,k,n,,,,,,1,1,0,1,1,,,,,
12,2,13,d,r,j,w,p,,,,,,1,0,0,1,1,,,,,
12,2,14,s,d,j,r,d,,,,,,1,1,0,1,0,,,,,
12,2,15,c,t,f,c,v,,,,,,0,1,1,0,1,,,,,
12,2,16,s,m,g,q,c,,,,,,0,1,1,0,1,,,,,
12,2,17,j,v,t,j,q,,,,,,0,0,1,1,1,,,,,
12,2,18,h,f,g,r,s,,,,,,0,0,1,1,1,,,,,
12,2,19,w,b,d,z,g,,,,,,0,0,1,0,1,,,,,
12,2,20,l,c,s,s,f,,,,,,0,1,0,1,0,,,,,
12,2,21,k,s,v,d,t,,,,,,0,0,0,1,0,,,,,
12,2,22,l,l,d,k,x,,,,,,0,0,0,1,0,,,,,
12,2,23,x,t,j,q,c,,,,,,0,1,1,1,1,,,,,
12,3,24,w,c,d,z,z,,,,,,1,1,0,1,0,,,,,
12,3,25,k,b,s,x,n,,,,,,0,0,1,1,1,,,,,
12,3,26,h,w,m,l,s,,,,,,0,0,1,1,1,,,,,
12,3,27,q,n,l,g,l,,,,,,0,0,1,0,0,,,,,
12,3,28,g,c,j,l,q,,,,,,0,1,1,0,1,,,,,
12,3,29,g,k,j,k,l,,,,,,1,0,0,1,1,,,,,
12,3,30,k,p,s,t,f,,,,,,1,0,0,1,0,,,,,
12,3,31,s,v,b,c,r,,,,,,0,1,1,0,1,,,,,
12,3,32,h,p,c,c,q,,,,,,1,1,0,0,1,,,,,
12,3,33,n,d,t,r,q,,,,,,1,0,1,1,0,,,,,
12,3,34,l,x,p,c,z,,,,,,0,0,0,1,1,,,,,
12,3,35,r,x,t,t,t,,,,,,1,0,1,1,1,,,,,
12,3,36,x,d,m,p,t,,,,,,1,0,1,1,1,,,,,
12,4,37,x,k,l,l,c,,,,,,0,1,1,1,1,,,,,
12,4,38,r,t,s,c,x,,,,,,0,0,0,1,1,,,,,
12,4,39,w,r,k,h,c,,,,,,0,1,0,1,0,,,,,
12,4,40,g,g,b,r,l,,,,,,0,0,1,0,0,,,,,
12,4,41,n,x,k,g,k,,,,,,0,0,1,0,0,,,,,
12,4,42,x,h,q,x,w,,,,,,1,1,1,1,1,,,,,
12,4,43,f,x,z,t,g,,,,,,0,1,1,0,1,,,,,
12,4,44,x,c,m,c,w,,,,,,0,1,1,0,1,,,,,
12,4,45,g,z,p,r,v,,,,,,1,1,0,0,1,,,,,
12,4,46,s,h,t,p,h,,,,,,0,0,0,1,1,,,,,
12,4,47,t,z,n,c,w,,,,,,1,0,1,0,0,,,,,
12,5,48,k,z,l,j,p,,,,,,0,1,0,1,0,,,,,
12,5,49,x,b,x,q,x,,,,,,1,1,0,1,0,,,,,
12,5,50,d,q,r,m,n,,,,,,1,1,0,1,1,,,,,
12,5,51,f,d,t,p,n,,,,,,1,0,1,0,0,,,,,
12,5,52,m,c,k,b,m,,,,,,0,1,0,1,0,,,,,
12,5,53,g,g,r,j,m,,,,,,1,0,0,1,0,,,,,
12,5,54,n,l,g,b,r,,,,,,0,0,1,0,1,,,,,
12,5,55,s,k,r,l,v,,,,,,0,0,0,0,1,,,,,
12,5,56,g,w,n,k,g,,,,,,1,1,1,0,0,,,,,
