Unity.frameCount	Unity.realtimeSinceStartup	Unity.Head.position.x	Unity.Head.position.y	Unity.Head.position.z	Unity.Head.rotation.euler_x	Unity.Head.rotation.euler_y	Unity.Head.rotation.euler_z	Unity.gazeHit.position.x	Unity.gazeHit.position.y	Unity.gazeHit.position.z	PicoXR.gazeHit.position.x	PicoXR.gazeHit.position.y	PicoXR.gazeHit.position.z	gazeData.leftEyePoseStatus	gazeData.rightEyePoseStatus	gazeData.combinedEyePoseStatus	gazeData.leftEyeGazePoint.x	gazeData.leftEyeGazePoint.y	gazeData.leftEyeGazePoint.z	gazeData.rightEyeGazePoint.x	gazeData.rightEyeGazePoint.y	gazeData.rightEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.leftEyeOpenness	gazeData.rightEyeOpenness	gazeData.leftEyePupilDilation	gazeData.rightEyePupilDilation	gazeData.leftEyePositionGuide.x	gazeData.leftEyePositionGuide.y	gazeData.leftEyePositionGuide.z	gazeData.rightEyePositionGuide.x	gazeData.rightEyePositionGuide.y	gazeData.rightEyePositionGuide.z	gazeData.foveatedGazeDirection.x	gazeData.foveatedGazeDirection.y	gazeData.foveatedGazeDirection.z	gazeData.foveatedGazeTrackingState
31269	451.2068	0	0	0	0	0	0	1.300816	-4.270066	8.5	0.04497811	-0.1274693	0.05	21	21	3	-0.03203281	-0.002454879	-0.02234704	0.03316368	-0.002706734	-0.02159914	-0.001249304	-0.002573796	-0.02199391	-0.001249304	-0.002573796	-0.02199391	1	1	0	0	0.4893797	0.5943128	0.5	0.5637622	0.6012847	0.5	0.05384374	-0.1525948	0.9868211	0
31270	451.2473	0	0	0	0	0	0	1.300462	-4.291101	8.500001	0.04498866	-0.1278708	0.05	21	21	3	-0.03203398	-0.002455876	-0.02234704	0.03316368	-0.002709619	-0.02159728	-0.00298666	-0.002568925	-0.022013	-0.00298666	-0.002568925	-0.022013	1	1	0	0	0.4891538	0.5947512	0.5	0.5638595	0.6011863	0.5	0.05385236	-0.1530641	0.9867479	0
31271	451.2689	0	0	0	0	0	0	1.303143	-4.300685	8.5	0.04500713	-0.12822	0.05	21	21	3	-0.03203505	-0.002456241	-0.02234704	0.03316337	-0.002710359	-0.02159697	-0.003752145	-0.002566477	-0.02202166	-0.003752145	-0.002566477	-0.02202166	1	1	0	0	0.489152	0.5949439	0.5	0.5637999	0.6011887	0.5	0.05387096	-0.153472	0.9866835	0
31272	451.2894	0	0	0	0	0	0	1.313336	-4.300694	8.5	0.04603531	-0.1279495	0.05	21	21	3	-0.03204089	-0.002455876	-0.0223486	0.03316221	-0.002710359	-0.02159697	-0.003412663	-0.00256761	-0.02201859	-0.003412663	-0.00256761	-0.02201859	1	1	0	0	0.4891543	0.5949366	0.5	0.5640242	0.6010368	0.5	0.05510068	-0.1531456	0.9866663	0
31273	451.31	0	0	0	0	0	0	1.311516	-4.300337	8.5	0.04592871	-0.127824	0.05	21	21	3	-0.03204452	-0.002455876	-0.0223486	0.03316196	-0.002710359	-0.0215971	-0.004188145	-0.002564592	-0.02202756	-0.004188145	-0.002564592	-0.02202756	1	1	0	0	0.4891543	0.5949366	0.5	0.5637975	0.6010402	0.5	0.05497474	-0.153	0.9866959	0
31274	451.3319	0	0	0	0	0	0	1.316363	-4.292988	8.5	0.04600503	-0.1272437	0.05	21	21	3	-0.0320458	-0.00245829	-0.02234703	0.03316186	-0.002711096	-0.02159818	-0.004227835	-0.002566138	-0.02202756	-0.004227835	-0.002566138	-0.02202756	1	1	0	0	0.4891531	0.5948249	0.5	0.5637954	0.601035	0.5	0.05507165	-0.1523207	0.9867955	0
31275	451.3625	0	0	0	0	0	0	1.316345	-4.296466	8.5	0.04623929	-0.1275571	0.05	21	21	3	-0.03204596	-0.00246044	-0.02233948	0.03316163	-0.002711096	-0.02159877	-0.003029098	-0.00257198	-0.02200987	-0.003029098	-0.00257198	-0.02200987	1	1	0	0	0.489138	0.5949082	0.5	0.564021	0.6010286	0.5	0.05534805	-0.1526848	0.9867239	0
31276	451.3884	0	0	0	0	0	0	1.319828	-4.305387	8.500001	0.04651847	-0.1281496	0.05	21	21	3	-0.03204653	-0.00246122	-0.02233511	0.03316119	-0.002711096	-0.021603	-0.002819467	-0.002573218	-0.02200697	-0.002819467	-0.002573218	-0.02200697	1	1	0	0	0.4892257	0.595054	0.5	0.5640149	0.6011095	0.5	0.05567515	-0.1533745	0.9865985	0
31277	451.4137	0	0	0	0	0	0	1.312285	-4.303112	8.500001	0.04618591	-0.1279436	0.05	21	21	3	-0.03204912	-0.00246122	-0.02233294	0.03316027	-0.002711081	-0.02160767	-0.001934554	-0.002576609	-0.021998	-0.001934554	-0.002576609	-0.021998	1	1	0	0	0.4892446	0.5949404	0.5	0.5637836	0.6010917	0.5	0.05528043	-0.1531372	0.9866575	0
31278	451.437	0	0	0	0	0	0	1.315974	-4.301808	8.500001	0.04654632	-0.1281928	0.05	21	21	3	-0.03205151	-0.002467012	-0.02231595	0.03315772	-0.002710492	-0.02162085	-0.002683323	-0.002576668	-0.0220029	-0.002683323	-0.002576668	-0.0220029	1	1	0	0	0.4892194	0.5949719	0.5	0.5637547	0.6013924	0.5	0.05570795	-0.1534248	0.9865888	0
31279	451.4611	0	0	0	0	0	0	1.30178	-4.305382	8.5	0.04527428	-0.1281613	0.05	21	21	3	-0.03205424	-0.002475254	-0.02228175	0.03315717	-0.002711081	-0.02162094	-0.002823545	-0.002580962	-0.02198555	-0.002823545	-0.002580962	-0.02198555	1	1	0	0	0.4889054	0.5951769	0.5	0.5634741	0.6013971	0.5	0.05419038	-0.1534008	0.9866771	0
31280	451.4878	0	0	0	0	0	0	1.292418	-4.307236	8.5	0.04520603	-0.1287427	0.05	21	21	3	-0.03205768	-0.002479154	-0.02225529	0.03315717	-0.002711081	-0.0216215	-0.001743179	-0.002586963	-0.02196068	-0.001743179	-0.002586963	-0.02196068	1	1	0	0	0.4888405	0.595311	0.5	0.5634744	0.6014858	0.5	0.05410312	-0.1540808	0.9865758	0
31281	451.5146	0	0	0	0	0	0	1.294264	-4.296899	8.500001	0.04586988	-0.1286669	0.05	21	21	3	-0.03205962	-0.00248626	-0.02222252	0.03315717	-0.002710447	-0.02162631	-0.001659577	-0.002590762	-0.02194461	-0.001659577	-0.002590762	-0.02194461	1	1	0	0	0.488816	0.5954541	0.5	0.5637242	0.6014588	0.5	0.05489602	-0.1539856	0.9865469	0
31282	451.5403	0	0	0	0	0	0	1.285359	-4.288397	8.5	0.04573291	-0.1293981	0.05	21	21	3	-0.03206013	-0.002488368	-0.02220079	0.03315717	-0.002711081	-0.02162793	-0.001631898	-0.002592278	-0.02193351	-0.001631898	-0.002592278	-0.02193351	1	1	0	0	0.4888344	0.5955567	0.5	0.5636208	0.6017015	0.5	0.0547252	-0.1548411	0.9864225	0
31283	451.5626	0	0	0	0	0	0	1.278172	-4.265536	8.5	0.04564516	-0.1293876	0.05	21	21	3	-0.03206022	-0.002488368	-0.02220079	0.03315785	-0.002710073	-0.02162793	-0.00219627	-0.002589889	-0.02193847	-0.00219627	-0.002589889	-0.02193847	1	1	0	0	0.4887829	0.595567	0.5	0.5636208	0.6017018	0.5	0.05462062	-0.1548298	0.98643	0
31284	451.5843	0	0	0	0	0	0	1.270834	-4.318871	8.5	0.04650632	-0.1364553	0.05	21	21	3	-0.03206233	-0.002470804	-0.02223114	0.03315785	-0.002711105	-0.02162475	-0.001759662	-0.002582453	-0.0219494	-0.001759662	-0.002582453	-0.0219494	1	1	0	0	0.4891356	0.5975738	0.5	0.5637188	0.6017146	0.5	0.05557325	-0.1630587	0.98505	0
31285	451.6051	0	0	0	0	0	0	0.8542821	-3.817525	8.5	0.01040258	-0.1000575	0.05	21	21	3	-0.0323152	-0.002109636	-0.02240151	0.03287727	-0.002337174	-0.02181222	-0.002030867	-0.002215336	-0.02212776	-0.002030867	-0.002215336	-0.02212776	1	1	0	0	0.4729339	0.5794554	0.5	0.5510758	0.5851007	0.5	0.01252641	-0.1204857	0.992636	0
31286	451.6295	0	0	0	0	0	0	0.2578788	-3.400797	8.5	-0.04452223	-0.06992976	0.05	21	21	3	-0.03254154	-0.001364127	-0.02315428	0.03244469	-0.001427856	-0.02331214	-0.005268368	-0.001390873	-0.02322053	-0.005268368	-0.001390873	-0.02322053	1	1	0	0	0.4544301	0.554244	0.5	0.5302438	0.5517941	0.5	-0.05373873	-0.08440583	0.9949813	0
