Unity.frameCount	Unity.realtimeSinceStartup	Unity.Head.position.x	Unity.Head.position.y	Unity.Head.position.z	Unity.Head.rotation.euler_x	Unity.Head.rotation.euler_y	Unity.Head.rotation.euler_z	Unity.gazeHit.position.x	Unity.gazeHit.position.y	Unity.gazeHit.position.z	PicoXR.gazeHit.position.x	PicoXR.gazeHit.position.y	PicoXR.gazeHit.position.z	gazeData.leftEyePoseStatus	gazeData.rightEyePoseStatus	gazeData.combinedEyePoseStatus	gazeData.leftEyeGazePoint.x	gazeData.leftEyeGazePoint.y	gazeData.leftEyeGazePoint.z	gazeData.rightEyeGazePoint.x	gazeData.rightEyeGazePoint.y	gazeData.rightEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.leftEyeOpenness	gazeData.rightEyeOpenness	gazeData.leftEyePupilDilation	gazeData.rightEyePupilDilation	gazeData.leftEyePositionGuide.x	gazeData.leftEyePositionGuide.y	gazeData.leftEyePositionGuide.z	gazeData.rightEyePositionGuide.x	gazeData.rightEyePositionGuide.y	gazeData.rightEyePositionGuide.z	gazeData.foveatedGazeDirection.x	gazeData.foveatedGazeDirection.y	gazeData.foveatedGazeDirection.z	gazeData.foveatedGazeTrackingState
1978	31.5311	0	0	0	0	0	0	-0.3326732	-0.8581325	8.5	0.01533312	-0.09981123	0.05	21	21	3	-0.02949569	-0.003903745	-0.03236987	0.03102303	-0.002247883	-0.0333158	0.006683543	-0.002913839	-0.03293537	0.006683543	-0.002913839	-0.03293537	1	1	0	0	0.5506786	0.6693079	0.5	0.5121264	0.6227237	0.5	0.01846255	-0.1201823	0.9925802	0
1979	31.56943	0	0	0	0	0	0	-0.3340047	-0.8627273	8.5	0.01499808	-0.0999911	0.05	21	21	3	-0.02949569	-0.00389413	-0.03236987	0.03102303	-0.002237293	-0.03330469	0.006119179	-0.002919092	-0.03292001	0.006119179	-0.002919092	-0.03292001	1	1	0	0	0.5505942	0.6688958	0.5	0.5120986	0.6224142	0.5	0.01805879	-0.1203966	0.9925616	0
1980	31.58134	0	0	0	0	0	0	-0.3398519	-0.8626094	8.5	0.01450955	-0.09991039	0.05	21	21	3	-0.02949569	-0.00389413	-0.03236987	0.03102303	-0.002235802	-0.0333035	0.006828261	-0.002898785	-0.03293024	0.006828261	-0.002898785	-0.03293024	1	1	0	0	0.5502751	0.6687708	0.5	0.5120986	0.6224142	0.5	0.01747095	-0.1203021	0.9925836	0
1981	31.59362	0	0	0	0	0	0	-0.3462301	-0.8611155	8.5	0.01378906	-0.09974406	0.05	21	21	3	-0.02949569	-0.00389413	-0.03236987	0.03102303	-0.00223468	-0.03329925	0.006791663	-0.002899115	-0.03292713	0.006791663	-0.002899115	-0.03292713	1	1	0	0	0.5502762	0.6686499	0.5	0.5118657	0.6223674	0.5	0.01660406	-0.1201065	0.9926222	0
1982	31.60455	0	0	0	0	0	0	-0.3449628	-0.8603086	8.5	0.01372385	-0.09962256	0.05	21	21	3	-0.02949569	-0.00389413	-0.03236987	0.03102303	-0.002230311	-0.03329684	0.006433892	-0.002906331	-0.03292021	0.006433892	-0.002906331	-0.03292021	1	1	0	0	0.5502768	0.6685858	0.5	0.5118636	0.622222	0.5	0.01652585	-0.1199625	0.9926409	0
1983	31.61855	0	0	0	0	0	0	-0.3425175	-0.8481018	8.5	0.01262278	-0.09837262	0.05	21	21	3	-0.02950621	-0.00389843	-0.03230769	0.03102244	-0.002229486	-0.03327994	0.002342896	-0.003020261	-0.03281927	0.002342896	-0.003020261	-0.03281927	1	1	0	0	0.5499994	0.6682076	0.5	0.5118038	0.6218523	0.5	0.01520302	-0.1184811	0.9928399	0
1984	31.63324	0	0	0	0	0	0	-0.3547055	-0.8486234	8.5	0.01149511	-0.09826288	0.05	21	21	3	-0.02950886	-0.003901616	-0.03229958	0.03101992	-0.002229486	-0.03327994	0.00223078	-0.003024797	-0.03281365	0.00223078	-0.003024797	-0.03281365	1	1	0	0	0.5496104	0.6681525	0.5	0.511624	0.6219039	0.5	0.01384533	-0.1183531	0.992875	0
1985	31.64638	0	0	0	0	0	0	-0.3531592	-0.849758	8.5	0.0117119	-0.09808037	0.05	21	21	3	-0.02951036	-0.003903745	-0.03229528	0.03101878	-0.002229486	-0.03327994	0.002559226	-0.003016688	-0.03281697	0.002559226	-0.003016688	-0.03281697	1	1	0	0	0.5496104	0.6681525	0.5	0.5115951	0.6218558	0.5	0.01410676	-0.1181359	0.9928973	0
1986	31.65966	0	0	0	0	0	0	-0.3512235	-0.8519779	8.5	0.01176996	-0.09803279	0.05	21	21	3	-0.02951344	-0.00390388	-0.03228125	0.0310172	-0.002233195	-0.03327631	0.002331338	-0.003024943	-0.03280475	0.002331338	-0.003024943	-0.03280475	1	1	0	0	0.5495554	0.6681519	0.5	0.5115464	0.6218566	0.5	0.01417677	-0.1180793	0.992903	0
1987	31.67666	0	0	0	0	0	0	-0.3550731	-0.8513924	8.5	0.01140685	-0.09786525	0.05	21	21	3	-0.02951344	-0.00390388	-0.03228125	0.03101629	-0.00222725	-0.03327209	0.002294888	-0.003022813	-0.03280193	0.002294888	-0.003022813	-0.03280193	1	1	0	0	0.5495554	0.6681519	0.5	0.5114075	0.6215994	0.5	0.01373982	-0.117881	0.9929327	0
